make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity,msrp
audi,100,1994,unleaded,172.0,6.0,automatic,front_wheel_drive,4.0,luxury,midsize,sedan,22,16,3105,2000
audi,100,1994,unleaded,172.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,21,16,3105,2000
fiat,124_spider,2017,unleaded,160.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,convertible,35,26,819,27495
fiat,124_spider,2017,unleaded,160.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,convertible,35,26,819,24995
fiat,124_spider,2017,unleaded,160.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,convertible,35,26,819,28195
mercedes-benz,190-class,1991,unleaded,130.0,4.0,manual,rear_wheel_drive,4.0,luxury,compact,sedan,26,18,617,2000
mercedes-benz,190-class,1991,unleaded,158.0,6.0,manual,rear_wheel_drive,4.0,luxury,compact,sedan,25,17,617,2000
mercedes-benz,190-class,1992,unleaded,158.0,6.0,manual,rear_wheel_drive,4.0,luxury,compact,sedan,25,17,617,2000
mercedes-benz,190-class,1992,unleaded,130.0,4.0,manual,rear_wheel_drive,4.0,luxury,compact,sedan,26,18,617,2000
mercedes-benz,190-class,1993,unleaded,130.0,4.0,manual,rear_wheel_drive,4.0,luxury,compact,sedan,26,18,617,2000
mercedes-benz,190-class,1993,unleaded,158.0,6.0,manual,rear_wheel_drive,4.0,luxury,compact,sedan,25,17,617,2000
bmw,2_series,2016,unleaded,240.0,4.0,automatic,rear_wheel_drive,2.0,"luxury,performance",compact,coupe,35,23,3916,32850
bmw,2_series,2016,unleaded,240.0,4.0,automatic,rear_wheel_drive,2.0,luxury,compact,convertible,34,23,3916,38650
bmw,2_series,2016,unleaded,320.0,6.0,automatic,rear_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,convertible,31,20,3916,48750
bmw,2_series,2016,unleaded,240.0,4.0,automatic,all_wheel_drive,2.0,"luxury,performance",compact,coupe,35,23,3916,34850
bmw,2_series,2016,unleaded,240.0,4.0,automatic,all_wheel_drive,2.0,luxury,compact,convertible,34,22,3916,40650
bmw,2_series,2016,unleaded,320.0,6.0,automatic,rear_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,coupe,31,20,3916,44150
bmw,2_series,2016,unleaded,240.0,4.0,manual,rear_wheel_drive,2.0,"luxury,performance",compact,coupe,34,22,3916,32850
bmw,2_series,2016,unleaded,320.0,6.0,automatic,all_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,coupe,30,20,3916,46150
bmw,2_series,2016,unleaded,320.0,6.0,automatic,rear_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,convertible,30,20,3916,50750
bmw,2_series,2017,unleaded,335.0,6.0,automatic,all_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,coupe,31,21,3916,46450
bmw,2_series,2017,unleaded,335.0,6.0,automatic,rear_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,convertible,32,21,3916,49050
bmw,2_series,2017,unleaded,335.0,6.0,automatic,all_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,convertible,32,21,3916,51050
bmw,2_series,2017,unleaded,335.0,6.0,automatic,rear_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,coupe,32,21,3916,44450
bmw,2_series,2017,unleaded,248.0,4.0,automatic,rear_wheel_drive,2.0,"luxury,performance",compact,convertible,34,23,3916,38950
bmw,2_series,2017,unleaded,248.0,4.0,automatic,rear_wheel_drive,2.0,"luxury,performance",compact,coupe,35,24,3916,33150
bmw,2_series,2017,unleaded,248.0,4.0,automatic,all_wheel_drive,2.0,"luxury,performance",compact,coupe,33,24,3916,35150
bmw,2_series,2017,unleaded,248.0,4.0,automatic,all_wheel_drive,2.0,luxury,compact,convertible,33,23,3916,40950
audi,200,1990,unleaded,162.0,5.0,automatic,front_wheel_drive,4.0,luxury,midsize,sedan,20,16,3105,2000
audi,200,1990,unleaded,162.0,5.0,manual,all_wheel_drive,4.0,luxury,midsize,wagon,22,15,3105,2000
audi,200,1990,unleaded,162.0,5.0,manual,all_wheel_drive,4.0,luxury,midsize,sedan,23,15,3105,2000
audi,200,1991,unleaded,217.0,5.0,manual,all_wheel_drive,4.0,"luxury,performance",midsize,sedan,22,16,3105,2000
audi,200,1991,unleaded,217.0,5.0,manual,all_wheel_drive,4.0,"luxury,performance",midsize,wagon,22,16,3105,2000
audi,200,1991,unleaded,162.0,5.0,automatic,front_wheel_drive,4.0,luxury,midsize,sedan,20,16,3105,2000
chrysler,200,2015,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,25170
chrysler,200,2015,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,23950
chrysler,200,2015,flex_fuel,295.0,6.0,automatic,all_wheel_drive,4.0,"flex_fuel,performance",midsize,sedan,29,18,1013,29370
chrysler,200,2015,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,21995
chrysler,200,2015,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,"flex_fuel,performance",midsize,sedan,36,23,1013,26625
chrysler,200,2015,flex_fuel,295.0,6.0,automatic,all_wheel_drive,4.0,"flex_fuel,performance",midsize,sedan,29,18,1013,30825
chrysler,200,2016,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,21995
chrysler,200,2016,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,27795
chrysler,200,2016,flex_fuel,295.0,6.0,automatic,all_wheel_drive,4.0,"flex_fuel,performance",midsize,sedan,29,18,1013,31785
chrysler,200,2016,flex_fuel,295.0,6.0,automatic,all_wheel_drive,4.0,"flex_fuel,performance",midsize,sedan,29,18,1013,29905
chrysler,200,2016,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,22490
chrysler,200,2016,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,27570
chrysler,200,2016,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,25690
chrysler,200,2016,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,24490
chrysler,200,2017,flex_fuel,295.0,6.0,automatic,all_wheel_drive,4.0,"flex_fuel,performance",midsize,sedan,28,18,1013,29905
chrysler,200,2017,flex_fuel,295.0,6.0,automatic,all_wheel_drive,4.0,"flex_fuel,performance",midsize,sedan,28,18,1013,31785
chrysler,200,2017,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,26685
chrysler,200,2017,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,22490
chrysler,200,2017,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,25690
chrysler,200,2017,flex_fuel,295.0,6.0,automatic,all_wheel_drive,4.0,"flex_fuel,performance",midsize,sedan,28,18,1013,30900
chrysler,200,2017,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,27795
chrysler,200,2017,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,21995
chrysler,200,2017,flex_fuel,184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013,24490
nissan,200sx,1996,unleaded,115.0,4.0,manual,front_wheel_drive,2.0,crossover,compact,coupe,36,26,2009,2000
nissan,200sx,1996,unleaded,115.0,4.0,manual,front_wheel_drive,2.0,crossover,compact,coupe,36,26,2009,2000
nissan,200sx,1996,unleaded,140.0,4.0,manual,front_wheel_drive,2.0,performance,compact,coupe,29,21,2009,2000
nissan,200sx,1997,unleaded,140.0,4.0,manual,front_wheel_drive,2.0,performance,compact,coupe,29,21,2009,2000
nissan,200sx,1997,unleaded,115.0,4.0,manual,front_wheel_drive,2.0,crossover,compact,coupe,35,25,2009,2000
nissan,200sx,1997,unleaded,115.0,4.0,manual,front_wheel_drive,2.0,crossover,compact,coupe,35,25,2009,2000
nissan,200sx,1998,unleaded,115.0,4.0,manual,front_wheel_drive,2.0,crossover,compact,coupe,35,25,2009,2000
nissan,200sx,1998,unleaded,115.0,4.0,manual,front_wheel_drive,2.0,crossover,compact,coupe,35,25,2009,2000
nissan,200sx,1998,unleaded,140.0,4.0,manual,front_wheel_drive,2.0,performance,compact,coupe,28,20,2009,2073
nissan,240sx,1996,unleaded,155.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,26,19,2009,3713
nissan,240sx,1996,unleaded,155.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,26,19,2009,3520
nissan,240sx,1997,unleaded,155.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,26,19,2009,3910
nissan,240sx,1997,unleaded,155.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,26,19,2009,4182
nissan,240sx,1997,unleaded,155.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,26,19,2009,4107
nissan,240sx,1998,unleaded,155.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,25,20,2009,4299
nissan,240sx,1998,unleaded,155.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,25,20,2009,4693
nissan,240sx,1998,unleaded,155.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,coupe,25,20,2009,4107
volvo,240,1991,unleaded,114.0,4.0,manual,rear_wheel_drive,4.0,luxury,midsize,wagon,26,19,870,2000
volvo,240,1991,unleaded,114.0,4.0,automatic,rear_wheel_drive,4.0,luxury,midsize,wagon,23,18,870,2000
volvo,240,1991,unleaded,114.0,4.0,manual,rear_wheel_drive,4.0,luxury,midsize,sedan,26,19,870,2000
volvo,240,1992,unleaded,114.0,4.0,manual,rear_wheel_drive,4.0,luxury,midsize,sedan,26,19,870,2000
volvo,240,1992,unleaded,114.0,4.0,manual,rear_wheel_drive,4.0,luxury,midsize,wagon,26,19,870,2000
volvo,240,1992,unleaded,114.0,4.0,manual,rear_wheel_drive,4.0,luxury,midsize,sedan,26,19,870,2000
volvo,240,1993,unleaded,114.0,4.0,manual,rear_wheel_drive,4.0,luxury,midsize,sedan,26,19,870,2000
volvo,240,1993,unleaded,114.0,4.0,manual,rear_wheel_drive,4.0,luxury,midsize,wagon,25,18,870,2000
mazda,2,2012,unleaded,100.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,35,29,586,16020
mazda,2,2012,unleaded,100.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,35,29,586,14530
mazda,2,2012,unleaded,100.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,28,586,16860
mazda,2,2012,unleaded,100.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,28,586,15370
mazda,2,2013,unleaded,100.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,28,586,17050
mazda,2,2013,unleaded,100.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,28,586,15560
mazda,2,2013,unleaded,100.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,35,29,586,16210
mazda,2,2013,unleaded,100.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,35,29,586,14720
mazda,2,2014,unleaded,100.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,28,586,17050
mazda,2,2014,unleaded,100.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,34,28,586,15560
mazda,2,2014,unleaded,100.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,35,29,586,16210
mazda,2,2014,unleaded,100.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,35,29,586,14720
bmw,3_series_gran_turismo,2015,unleaded,300.0,6.0,automatic,all_wheel_drive,4.0,"hatchback,luxury,performance",midsize,4dr_hatchback,30,20,3916,47250
bmw,3_series_gran_turismo,2015,unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,"hatchback,luxury",midsize,4dr_hatchback,33,22,3916,41850
bmw,3_series_gran_turismo,2015,unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,"hatchback,luxury",midsize,4dr_hatchback,33,22,3916,41850
bmw,3_series_gran_turismo,2016,unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,"hatchback,luxury",midsize,4dr_hatchback,34,22,3916,43000
bmw,3_series_gran_turismo,2016,unleaded,300.0,6.0,automatic,all_wheel_drive,4.0,"hatchback,luxury,performance",midsize,4dr_hatchback,30,20,3916,49200
bmw,3_series_gran_turismo,2017,unleaded,320.0,6.0,automatic,all_wheel_drive,4.0,"hatchback,luxury,performance",midsize,4dr_hatchback,30,20,3916,49650
bmw,3_series_gran_turismo,2017,unleaded,248.0,4.0,automatic,all_wheel_drive,4.0,"hatchback,luxury",midsize,4dr_hatchback,33,23,3916,43950
bmw,3_series,2015,unleaded,241.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,33,22,3916,41950
bmw,3_series,2015,unleaded,335.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,high-performance,hybrid",midsize,sedan,33,25,3916,50150
bmw,3_series,2015,unleaded,240.0,4.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,35,23,3916,37500
bmw,3_series,2015,unleaded,300.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,high-performance",midsize,sedan,32,21,3916,43750
bmw,3_series,2015,unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,33,22,3916,39500
bmw,3_series,2015,unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,33,22,3916,39500
bmw,3_series,2015,unleaded,180.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,35,23,3916,34950
bmw,3_series,2015,unleaded,300.0,6.0,automatic,all_wheel_drive,4.0,"luxury,performance",midsize,sedan,30,20,3916,45750
bmw,3_series,2015,diesel,180.0,4.0,automatic,all_wheel_drive,4.0,"diesel,luxury",midsize,wagon,43,31,3916,43450
bmw,3_series,2015,unleaded,240.0,4.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,35,23,3916,37500
bmw,3_series,2015,diesel,180.0,4.0,automatic,all_wheel_drive,4.0,"diesel,luxury",midsize,sedan,43,31,3916,41000
bmw,3_series,2015,unleaded,180.0,4.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,36,24,3916,32950
bmw,3_series,2016,diesel,180.0,4.0,automatic,all_wheel_drive,4.0,"diesel,luxury",midsize,sedan,40,30,3916,41850
bmw,3_series,2016,unleaded,320.0,6.0,automatic,all_wheel_drive,4.0,"luxury,high-performance",midsize,sedan,33,22,3916,47800
bmw,3_series,2016,unleaded,240.0,4.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,34,22,3916,38350
bmw,3_series,2016,unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,34,22,3916,40350
bmw,3_series,2016,unleaded,240.0,4.0,manual,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,34,22,3916,38350
bmw,3_series,2016,unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,34,22,3916,42650
bmw,3_series,2016,unleaded,180.0,4.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,36,24,3916,33150
bmw,3_series,2016,unleaded,180.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,35,23,3916,35150
bmw,3_series,2016,diesel,180.0,4.0,automatic,all_wheel_drive,4.0,"diesel,luxury",midsize,wagon,40,30,3916,44150
bmw,3_series,2016,unleaded,320.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,high-performance",midsize,sedan,33,22,3916,45800
bmw,3_series,2017,unleaded,248.0,4.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,34,23,3916,38750
bmw,3_series,2017,unleaded,180.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,34,23,3916,35450
bmw,3_series,2017,unleaded,180.0,4.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,35,23,3916,33450
bmw,3_series,2017,unleaded,248.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,33,23,3916,40750
bmw,3_series,2017,diesel,180.0,4.0,automatic,all_wheel_drive,4.0,"diesel,luxury",midsize,sedan,40,30,3916,42250
bmw,3_series,2017,unleaded,248.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,33,23,3916,42950
bmw,3_series,2017,unleaded,320.0,6.0,automatic,all_wheel_drive,4.0,"luxury,performance",midsize,sedan,31,21,3916,49900
bmw,3_series,2017,unleaded,320.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,high-performance",midsize,sedan,32,21,3916,47900
bmw,3_series,2017,diesel,180.0,4.0,automatic,all_wheel_drive,4.0,"diesel,luxury",midsize,wagon,40,30,3916,44450
mercedes-benz,300-class,1991,unleaded,177.0,6.0,automatic,rear_wheel_drive,4.0,luxury,large,sedan,19,15,617,2232
mercedes-benz,300-class,1991,unleaded,177.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,wagon,20,15,617,2000
mercedes-benz,300-class,1991,unleaded,158.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,22,17,617,2000
mercedes-benz,300-class,1991,unleaded,177.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,20,15,617,2105
mercedes-benz,300-class,1991,unleaded,177.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,18,15,617,2199
mercedes-benz,300-class,1991,unleaded,177.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,22,16,617,2000
mercedes-benz,300-class,1991,unleaded,177.0,6.0,automatic,rear_wheel_drive,4.0,luxury,large,sedan,19,15,617,2124
mercedes-benz,300-class,1991,unleaded,228.0,6.0,manual,rear_wheel_drive,2.0,"luxury,performance",compact,convertible,21,14,617,3552
mercedes-benz,300-class,1991,unleaded,217.0,6.0,automatic,rear_wheel_drive,2.0,luxury,midsize,coupe,22,15,617,2179
mercedes-benz,300-class,1991,diesel,121.0,5.0,automatic,rear_wheel_drive,4.0,"diesel,luxury",midsize,sedan,30,23,617,2000
mercedes-benz,300-class,1992,diesel,121.0,5.0,automatic,rear_wheel_drive,4.0,"diesel,luxury",midsize,sedan,29,23,617,2000
mercedes-benz,300-class,1992,unleaded,228.0,6.0,automatic,rear_wheel_drive,4.0,luxury,large,sedan,17,14,617,2377
mercedes-benz,300-class,1992,unleaded,228.0,6.0,manual,rear_wheel_drive,2.0,"luxury,performance",compact,convertible,21,15,617,3814
mercedes-benz,300-class,1992,unleaded,177.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,19,15,617,2207
mercedes-benz,300-class,1992,unleaded,177.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,wagon,20,15,617,2000
mercedes-benz,300-class,1992,unleaded,217.0,6.0,automatic,rear_wheel_drive,2.0,luxury,midsize,coupe,21,15,617,2248
mercedes-benz,300-class,1992,unleaded,177.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,22,16,617,2065
mercedes-benz,300-class,1992,diesel,148.0,6.0,automatic,rear_wheel_drive,4.0,"diesel,luxury",large,sedan,22,18,617,2547
mercedes-benz,300-class,1992,unleaded,177.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,18,15,617,2282
mercedes-benz,300-class,1992,unleaded,158.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,23,18,617,2000
mercedes-benz,300-class,1993,unleaded,177.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,wagon,19,15,617,2544
mercedes-benz,300-class,1993,unleaded,217.0,6.0,automatic,rear_wheel_drive,2.0,luxury,midsize,coupe,22,17,617,2397
mercedes-benz,300-class,1993,diesel,121.0,5.0,automatic,rear_wheel_drive,4.0,"diesel,luxury",midsize,sedan,30,23,617,2000
mercedes-benz,300-class,1993,unleaded,228.0,6.0,manual,rear_wheel_drive,2.0,"luxury,performance",compact,convertible,21,14,617,4174
mercedes-benz,300-class,1993,unleaded,217.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,22,17,617,2187
mercedes-benz,300-class,1993,diesel,148.0,6.0,automatic,rear_wheel_drive,4.0,"diesel,luxury",large,sedan,22,18,617,2729
mercedes-benz,300-class,1993,unleaded,177.0,6.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,19,15,617,2433
mercedes-benz,300-class,1993,unleaded,194.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,23,17,617,2247
mercedes-benz,300-class,1993,unleaded,228.0,6.0,automatic,rear_wheel_drive,4.0,luxury,large,sedan,18,14,617,2540
mitsubishi,3000gt,1997,unleaded,218.0,6.0,manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,23,17,436,3941
mitsubishi,3000gt,1997,unleaded,161.0,6.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,22,17,436,3295
mitsubishi,3000gt,1997,unleaded,320.0,6.0,manual,all_wheel_drive,2.0,"hatchback,factory_tuner,performance",compact,2dr_hatchback,22,16,436,6008
mitsubishi,3000gt,1998,unleaded,320.0,6.0,manual,all_wheel_drive,2.0,"hatchback,factory_tuner,performance",compact,2dr_hatchback,22,16,436,6710
mitsubishi,3000gt,1998,unleaded,161.0,6.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,22,17,436,3701
mitsubishi,3000gt,1998,unleaded,218.0,6.0,manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,23,17,436,4671
mitsubishi,3000gt,1999,unleaded,218.0,6.0,manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,23,17,436,5306
mitsubishi,3000gt,1999,unleaded,320.0,6.0,manual,all_wheel_drive,2.0,"hatchback,factory_tuner,performance",compact,2dr_hatchback,22,16,436,7600
mitsubishi,3000gt,1999,unleaded,161.0,6.0,manual,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,22,17,436,4090
chrysler,300,2015,unleaded,300.0,6.0,automatic,all_wheel_drive,4.0,crossover,large,sedan,27,18,1013,37570
chrysler,300,2015,unleaded,292.0,6.0,automatic,rear_wheel_drive,4.0,crossover,large,sedan,31,19,1013,31695
chrysler,300,2015,unleaded,292.0,6.0,automatic,rear_wheel_drive,4.0,crossover,large,sedan,31,19,1013,38070
chrysler,300,2015,unleaded,292.0,6.0,automatic,all_wheel_drive,4.0,crossover,large,sedan,27,18,1013,44895
chrysler,300,2015,unleaded,300.0,6.0,automatic,rear_wheel_drive,4.0,performance,large,sedan,31,19,1013,35070
chrysler,300,2015,unleaded,292.0,6.0,automatic,rear_wheel_drive,4.0,performance,large,sedan,31,19,1013,42395
chrysler,300,2015,unleaded,292.0,6.0,automatic,all_wheel_drive,4.0,crossover,large,sedan,27,18,1013,34195
chrysler,300,2015,unleaded,292.0,6.0,automatic,all_wheel_drive,4.0,crossover,large,sedan,27,18,1013,40570
chrysler,300,2016,unleaded,300.0,6.0,automatic,all_wheel_drive,4.0,crossover,large,sedan,27,18,1013,38095
